,condition,phase,task,agent,recipient,result,sid,indicator
107,A5,gen,13,63,32,73,A5-gen-13,1
108,A5,gen,14,63,42,73,A5-gen-14,1
109,A5,gen,15,63,43,74,A5-gen-15,1
110,A5,gen,16,63,61,72,A5-gen-16,1
111,A6,learn,1,31,42,43,A6-learn-01,1
112,A6,learn,2,33,42,43,A6-learn-02,1
113,A6,learn,3,52,42,63,A6-learn-03,1
114,A6,learn,4,53,42,63,A6-learn-04,1
115,A6,learn,5,61,42,73,A6-learn-05,1
116,A6,learn,6,62,42,73,A6-learn-06,1
117,A6,gen,1,32,32,43,A6-gen-01,1
118,A6,gen,2,32,42,43,A6-gen-02,1
119,A6,gen,3,32,43,44,A6-gen-03,1
120,A6,gen,4,32,61,42,A6-gen-04,1
121,A6,gen,5,41,32,53,A6-gen-05,1
122,A6,gen,6,41,42,53,A6-gen-06,1
123,A6,gen,7,41,43,54,A6-gen-07,1
124,A6,gen,8,41,61,52,A6-gen-08,1
125,A6,gen,9,51,32,63,A6-gen-09,1
126,A6,gen,10,51,42,63,A6-gen-10,1
127,A6,gen,11,51,43,64,A6-gen-11,1
128,A6,gen,12,51,61,62,A6-gen-12,1
129,A6,gen,13,63,32,73,A6-gen-13,1
130,A6,gen,14,63,42,73,A6-gen-14,1
131,A6,gen,15,63,43,74,A6-gen-15,1
132,A6,gen,16,63,61,72,A6-gen-16,1
133,A7,learn,1,31,42,43,A7-learn-01,0
134,A7,learn,2,33,42,43,A7-learn-02,0
135,A7,learn,3,52,42,63,A7-learn-03,0
136,A7,learn,4,53,42,63,A7-learn-04,0
137,A7,learn,5,61,42,73,A7-learn-05,0
138,A7,learn,6,62,42,73,A7-learn-06,0
139,A7,gen,1,32,32,43,A7-gen-01,0
140,A7,gen,2,32,42,43,A7-gen-02,0
141,A7,gen,3,32,43,44,A7-gen-03,0
142,A7,gen,4,32,61,42,A7-gen-04,0
143,A7,gen,5,41,32,53,A7-gen-05,0
144,A7,gen,6,41,42,53,A7-gen-06,0
145,A7,gen,7,41,43,54,A7-gen-07,0
146,A7,gen,8,41,61,52,A7-gen-08,0
147,A7,gen,9,51,32,63,A7-gen-09,0
148,A7,gen,10,51,42,63,A7-gen-10,0
149,A7,gen,11,51,43,64,A7-gen-11,0
150,A7,gen,12,51,61,62,A7-gen-12,0
151,A7,gen,13,63,32,73,A7-gen-13,0
152,A7,gen,14,63,42,73,A7-gen-14,0
153,A7,gen,15,63,43,74,A7-gen-15,0
154,A7,gen,16,63,61,72,A7-gen-16,0
155,A8,learn,1,31,42,43,A8-learn-01,1
156,A8,learn,2,33,42,43,A8-learn-02,1
157,A8,learn,3,52,42,63,A8-learn-03,1
158,A8,learn,4,53,42,63,A8-learn-04,1
159,A8,learn,5,61,42,73,A8-learn-05,1
160,A8,learn,6,62,42,73,A8-learn-06,1
161,A8,gen,1,32,32,43,A8-gen-01,1
162,A8,gen,2,32,42,43,A8-gen-02,1
163,A8,gen,3,32,43,44,A8-gen-03,1
164,A8,gen,4,32,61,42,A8-gen-04,1
165,A8,gen,5,41,32,53,A8-gen-05,1
166,A8,gen,6,41,42,53,A8-gen-06,1
167,A8,gen,7,41,43,54,A8-gen-07,1
168,A8,gen,8,41,61,52,A8-gen-08,1
169,A8,gen,9,51,32,63,A8-gen-09,1
170,A8,gen,10,51,42,63,A8-gen-10,1
171,A8,gen,11,51,43,64,A8-gen-11,1
172,A8,gen,12,51,61,62,A8-gen-12,1
173,A8,gen,13,63,32,73,A8-gen-13,1
174,A8,gen,14,63,42,73,A8-gen-14,1
175,A8,gen,15,63,43,74,A8-gen-15,1
176,A8,gen,16,63,61,72,A8-gen-16,1
